time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,spike
29,-3e-05,-1e-05,-4e-05,-1e-05,-1e-05,1e-05,-2e-05,0.0,0,0
30,-3e-05,-1e-05,-4e-05,-1e-05,-1e-05,1e-05,-2e-05,0.0,0,0
31,-3e-05,-1e-05,-4e-05,-1e-05,-1e-05,1e-05,-2e-05,0.0,0,0
33,-3e-05,-1e-05,-4e-05,-1e-05,-1e-05,1e-05,-2e-05,0.0,0,0
34,-3e-05,-1e-05,-4e-05,-1e-05,-1e-05,1e-05,-2e-05,0.0,0,0
35,-3e-05,-1e-05,-4e-05,-1e-05,-1e-05,1e-05,-2e-05,0.0,0,0
45,-1e-05,-1e-05,-2e-05,4e-05,-1e-05,-1e-05,0.0,-1e-05,0,0
47,0.0,-2e-05,-3e-05,4e-05,-2e-05,-1e-05,-2e-05,0.0,0,0
48,0.0,-2e-05,-3e-05,4e-05,-2e-05,-1e-05,-2e-05,0.0,0,0
49,0.0,-2e-05,-3e-05,4e-05,-2e-05,-1e-05,-2e-05,0.0,0,0
50,0.0,-2e-05,-3e-05,4e-05,-2e-05,-1e-05,-2e-05,0.0,0,0
51,0.0,-2e-05,-3e-05,4e-05,-2e-05,-1e-05,-2e-05,0.0,0,0
52,0.0,-2e-05,-3e-05,4e-05,-2e-05,-1e-05,-2e-05,0.0,0,0
53,0.0,-2e-05,-3e-05,4e-05,-2e-05,-1e-05,-2e-05,0.0,0,0
54,-1e-05,3e-05,2e-05,4e-05,-1e-05,-1e-05,1e-05,0.0,0,0
55,-1e-05,3e-05,2e-05,4e-05,-1e-05,-1e-05,1e-05,0.0,0,0
56,-1e-05,3e-05,2e-05,4e-05,-1e-05,-1e-05,1e-05,0.0,0,0
57,-1e-05,3e-05,2e-05,4e-05,-1e-05,-1e-05,1e-05,0.0,0,0
58,-1e-05,3e-05,2e-05,4e-05,-1e-05,-1e-05,1e-05,0.0,0,0
59,-1e-05,3e-05,2e-05,4e-05,-1e-05,-1e-05,1e-05,0.0,0,0
60,-1e-05,3e-05,2e-05,4e-05,-1e-05,-1e-05,1e-05,0.0,0,0
61,-1e-05,3e-05,2e-05,4e-05,-1e-05,-1e-05,1e-05,0.0,0,0
62,-1e-05,3e-05,2e-05,4e-05,-1e-05,-1e-05,1e-05,0.0,0,0
63,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
64,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
65,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
66,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
67,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
68,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
69,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
70,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
71,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
72,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
73,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
74,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
75,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
76,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
77,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
78,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
79,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
80,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
81,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
82,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
83,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
84,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
85,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
86,-1e-05,-8e-05,-8e-05,-7e-05,-3e-05,-2e-05,2e-05,-2e-05,0,0
89,-2e-05,0.0,0.0,-5e-05,0.0,0.0,-1e-05,-1e-05,0,0
90,-2e-05,0.0,0.0,-5e-05,0.0,0.0,-1e-05,-1e-05,0,0
91,-2e-05,0.0,0.0,-5e-05,0.0,0.0,-1e-05,-1e-05,0,0
92,-2e-05,0.0,0.0,-5e-05,0.0,0.0,-1e-05,-1e-05,0,0
93,-2e-05,0.0,0.0,-5e-05,0.0,0.0,-1e-05,-1e-05,0,0
94,-2e-05,0.0,0.0,-5e-05,0.0,0.0,-1e-05,-1e-05,0,0
95,-2e-05,0.0,0.0,-5e-05,0.0,0.0,-1e-05,-1e-05,0,0
96,-2e-05,0.0,0.0,-5e-05,0.0,0.0,-1e-05,-1e-05,0,0
97,-2e-05,0.0,0.0,-5e-05,0.0,0.0,-1e-05,-1e-05,0,0
98,-2e-05,0.0,0.0,-5e-05,0.0,0.0,-1e-05,-1e-05,0,0
99,-2e-05,0.0,0.0,-5e-05,0.0,0.0,-1e-05,-1e-05,0,0
100,-1e-05,3e-05,4e-05,2e-05,0.0,-3e-05,-1e-05,0.0,0,0
101,-1e-05,-3e-05,-4e-05,-1e-05,-2e-05,0.0,0.0,-1e-05,0,0
102,-1e-05,-3e-05,-4e-05,-1e-05,-2e-05,0.0,0.0,-1e-05,0,0
103,-1e-05,-3e-05,-4e-05,-1e-05,-2e-05,0.0,0.0,-1e-05,0,0
104,-1e-05,-3e-05,-4e-05,-1e-05,-2e-05,0.0,0.0,-1e-05,0,0
105,-1e-05,-3e-05,-4e-05,-1e-05,-2e-05,0.0,0.0,-1e-05,0,0
106,0.0,0.0,2e-05,-2e-05,-1e-05,0.0,-1e-05,0.0,0,0
107,0.0,0.0,2e-05,-2e-05,-1e-05,0.0,-1e-05,0.0,0,0
108,0.0,0.0,2e-05,-2e-05,-1e-05,0.0,-1e-05,0.0,0,0
109,0.0,0.0,2e-05,-2e-05,-1e-05,0.0,-1e-05,0.0,0,0
110,0.0,0.0,2e-05,-2e-05,-1e-05,0.0,-1e-05,0.0,0,0
111,0.0,0.0,2e-05,-2e-05,-1e-05,0.0,-1e-05,0.0,0,0
112,0.0,0.0,2e-05,-2e-05,-1e-05,0.0,-1e-05,0.0,0,0
113,0.0,0.0,2e-05,-2e-05,-1e-05,0.0,-1e-05,0.0,0,0
114,-1e-05,0.0,-2e-05,-7e-05,-2e-05,-1e-05,-1e-05,-1e-05,0,0
115,-1e-05,0.0,-2e-05,-7e-05,-2e-05,-1e-05,-1e-05,-1e-05,0,0
116,-1e-05,0.0,-2e-05,-7e-05,-2e-05,-1e-05,-1e-05,-1e-05,0,0
117,-1e-05,0.0,-2e-05,-7e-05,-2e-05,-1e-05,-1e-05,-1e-05,0,0
118,-1e-05,0.0,-2e-05,-7e-05,-2e-05,-1e-05,-1e-05,-1e-05,0,0
119,-1e-05,0.0,-2e-05,-7e-05,-2e-05,-1e-05,-1e-05,-1e-05,0,0
120,-1e-05,0.0,-2e-05,-7e-05,-2e-05,-1e-05,-1e-05,-1e-05,0,0
121,-1e-05,0.0,-2e-05,-7e-05,-2e-05,-1e-05,-1e-05,-1e-05,0,0
122,-3e-05,-7e-05,-5e-05,-0.0001,-2e-05,-1e-05,-1e-05,-1e-05,0,0
123,1e-05,2e-05,-1e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,0,0
124,1e-05,2e-05,-1e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,0,0
125,1e-05,2e-05,-1e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,0,0
126,1e-05,2e-05,-1e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,0,0
127,1e-05,2e-05,-1e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,0,0
128,1e-05,2e-05,-1e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,0,0
129,1e-05,2e-05,-1e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,0,0
130,1e-05,2e-05,-1e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,0,0
131,1e-05,2e-05,-1e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,0,0
132,1e-05,2e-05,-1e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,0,0
133,1e-05,2e-05,-1e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,0,0
134,1e-05,2e-05,-1e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,0,0
135,1e-05,2e-05,-1e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,0,0
136,1e-05,2e-05,-1e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,0,0
139,-1e-05,1e-05,4e-05,0.0,1e-05,-1e-05,0.0,-1e-05,0,0
140,-1e-05,1e-05,4e-05,0.0,1e-05,-1e-05,0.0,-1e-05,0,0
141,-1e-05,1e-05,4e-05,0.0,1e-05,-1e-05,0.0,-1e-05,0,0
142,-1e-05,1e-05,4e-05,0.0,1e-05,-1e-05,0.0,-1e-05,0,0
143,-1e-05,1e-05,4e-05,0.0,1e-05,-1e-05,0.0,-1e-05,0,0
144,-1e-05,1e-05,4e-05,0.0,1e-05,-1e-05,0.0,-1e-05,0,0
145,-1e-05,1e-05,4e-05,0.0,1e-05,-1e-05,0.0,-1e-05,0,0
146,-1e-05,1e-05,4e-05,0.0,1e-05,-1e-05,0.0,-1e-05,0,0
147,-1e-05,1e-05,4e-05,0.0,1e-05,-1e-05,0.0,-1e-05,0,0
148,-1e-05,1e-05,4e-05,0.0,1e-05,-1e-05,0.0,-1e-05,0,0
149,-1e-05,1e-05,4e-05,0.0,1e-05,-1e-05,0.0,-1e-05,0,0
150,-1e-05,1e-05,4e-05,0.0,1e-05,-1e-05,0.0,-1e-05,0,0
151,-3e-05,-5e-05,-6e-05,-8e-05,-3e-05,-1e-05,1e-05,-2e-05,0,0
153,-3e-05,-5e-05,-6e-05,-8e-05,-3e-05,-1e-05,1e-05,-2e-05,0,0
154,-3e-05,-5e-05,-6e-05,-8e-05,-3e-05,-1e-05,1e-05,-2e-05,0,0
155,-3e-05,-5e-05,-6e-05,-8e-05,-3e-05,-1e-05,1e-05,-2e-05,0,0
156,-3e-05,-5e-05,-6e-05,-8e-05,-3e-05,-1e-05,1e-05,-2e-05,0,0
157,-3e-05,-5e-05,-6e-05,-8e-05,-3e-05,-1e-05,1e-05,-2e-05,0,0
158,-3e-05,-5e-05,-6e-05,-8e-05,-3e-05,-1e-05,1e-05,-2e-05,0,0
159,-3e-05,-5e-05,-6e-05,-8e-05,-3e-05,-1e-05,1e-05,-2e-05,0,0
160,1e-05,0.0,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,0.0,0,0
161,1e-05,0.0,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,0.0,0,0
162,1e-05,0.0,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,0.0,0,0
163,1e-05,0.0,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,0.0,0,0
164,1e-05,0.0,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,0.0,0,0
165,1e-05,0.0,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,0.0,0,0
166,1e-05,0.0,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,0.0,0,0
167,1e-05,0.0,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,0.0,0,0
168,1e-05,0.0,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,0.0,0,0
169,1e-05,0.0,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,0.0,0,0
170,1e-05,0.0,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,0.0,0,0
171,1e-05,0.0,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,0.0,0,0
172,1e-05,0.0,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,0.0,0,0
173,1e-05,0.0,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,0.0,0,0
174,0.0,-1e-05,0.0,1e-05,-1e-05,0.0,1e-05,0.0,0,0
175,0.0,-2e-05,0.0,0.0,-1e-05,-1e-05,0.0,0.0,0,0
176,0.0,-2e-05,0.0,0.0,-1e-05,-1e-05,0.0,0.0,0,0
177,0.0,-2e-05,0.0,0.0,-1e-05,-1e-05,0.0,0.0,0,0
178,0.0,-2e-05,0.0,0.0,-1e-05,-1e-05,0.0,0.0,0,0
179,0.0,-2e-05,0.0,0.0,-1e-05,-1e-05,0.0,0.0,0,0
180,0.0,-2e-05,0.0,0.0,-1e-05,-1e-05,0.0,0.0,0,0
181,0.0,-2e-05,0.0,0.0,-1e-05,-1e-05,0.0,0.0,0,0
182,0.0,-2e-05,0.0,0.0,-1e-05,-1e-05,0.0,0.0,0,0
183,-2e-05,-1e-05,-2e-05,-1e-05,1e-05,-2e-05,-4e-05,-1e-05,0,0
184,-2e-05,-1e-05,-2e-05,-1e-05,1e-05,-2e-05,-4e-05,-1e-05,0,0
185,-2e-05,-1e-05,-2e-05,-1e-05,1e-05,-2e-05,-4e-05,-1e-05,0,0
186,-2e-05,-1e-05,-2e-05,-1e-05,1e-05,-2e-05,-4e-05,-1e-05,0,0
189,-2e-05,-1e-05,-2e-05,-1e-05,1e-05,-2e-05,-4e-05,-1e-05,0,0
190,-2e-05,-1e-05,-2e-05,-1e-05,1e-05,-2e-05,-4e-05,-1e-05,0,0
191,-2e-05,-1e-05,-2e-05,-1e-05,1e-05,-2e-05,-4e-05,-1e-05,0,0
192,-2e-05,-1e-05,-2e-05,-1e-05,1e-05,-2e-05,-4e-05,-1e-05,0,0
193,-2e-05,-1e-05,-2e-05,-1e-05,1e-05,-2e-05,-4e-05,-1e-05,0,0
194,-2e-05,-1e-05,-2e-05,-1e-05,1e-05,-2e-05,-4e-05,-1e-05,0,0
195,-2e-05,-1e-05,-2e-05,-1e-05,1e-05,-2e-05,-4e-05,-1e-05,0,0
196,-2e-05,-1e-05,-2e-05,-1e-05,1e-05,-2e-05,-4e-05,-1e-05,0,0
197,-2e-05,-1e-05,-2e-05,-1e-05,1e-05,-2e-05,-4e-05,-1e-05,0,0
198,-2e-05,-3e-05,-3e-05,-4e-05,-2e-05,-1e-05,-2e-05,0.0,0,0
199,-2e-05,-3e-05,-3e-05,-4e-05,-2e-05,-1e-05,-2e-05,0.0,0,0
200,-2e-05,-3e-05,-3e-05,-4e-05,-2e-05,-1e-05,-2e-05,0.0,0,0
201,-2e-05,-3e-05,-3e-05,-4e-05,-2e-05,-1e-05,-2e-05,0.0,0,0
202,-2e-05,-3e-05,-3e-05,-4e-05,-2e-05,-1e-05,-2e-05,0.0,0,0
203,-2e-05,-3e-05,-3e-05,-4e-05,-2e-05,-1e-05,-2e-05,0.0,0,0
204,0.0,0.0,1e-05,0.0,0.0,-1e-05,-2e-05,-1e-05,0,0
205,0.0,0.0,1e-05,0.0,0.0,-1e-05,-2e-05,-1e-05,0,0
206,0.0,0.0,1e-05,0.0,0.0,-1e-05,-2e-05,-1e-05,0,0
207,0.0,0.0,1e-05,0.0,0.0,-1e-05,-2e-05,-1e-05,0,0
208,0.0,0.0,1e-05,0.0,0.0,-1e-05,-2e-05,-1e-05,0,0
209,0.0,0.0,1e-05,0.0,0.0,-1e-05,-2e-05,-1e-05,0,0
210,0.0,0.0,1e-05,0.0,0.0,-1e-05,-2e-05,-1e-05,0,0
211,0.0,0.0,1e-05,0.0,0.0,-1e-05,-2e-05,-1e-05,0,0
212,0.0,0.0,1e-05,0.0,0.0,-1e-05,-2e-05,-1e-05,0,0
213,0.0,0.0,1e-05,0.0,0.0,-1e-05,-2e-05,-1e-05,0,0
214,0.0,0.0,1e-05,0.0,0.0,-1e-05,-2e-05,-1e-05,0,0
215,0.0,0.0,1e-05,0.0,0.0,-1e-05,-2e-05,-1e-05,0,0
216,0.0,0.0,1e-05,0.0,0.0,-1e-05,-2e-05,-1e-05,0,0
217,0.0,0.0,1e-05,0.0,0.0,-1e-05,-2e-05,-1e-05,0,0
218,0.0,0.0,1e-05,0.0,0.0,-1e-05,-2e-05,-1e-05,0,0
219,0.0,0.0,1e-05,0.0,0.0,-1e-05,-2e-05,-1e-05,0,0
220,-3e-05,-1e-05,1e-05,1e-05,0.0,-1e-05,-1e-05,-1e-05,0,0
221,-3e-05,-1e-05,1e-05,1e-05,0.0,-1e-05,-1e-05,-1e-05,0,0
222,-3e-05,-1e-05,1e-05,1e-05,0.0,-1e-05,-1e-05,-1e-05,0,0
223,-3e-05,-1e-05,1e-05,1e-05,0.0,-1e-05,-1e-05,-1e-05,0,0
224,-3e-05,-1e-05,1e-05,1e-05,0.0,-1e-05,-1e-05,-1e-05,0,0
225,-3e-05,-1e-05,1e-05,1e-05,0.0,-1e-05,-1e-05,-1e-05,0,0
226,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
227,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
228,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
229,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
230,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
231,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
232,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
233,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
234,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
235,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
236,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
239,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
240,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
241,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
242,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
243,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
244,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
245,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
247,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
248,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
249,1e-05,-2e-05,-3e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0
250,-3e-05,-7e-05,-5e-05,-3e-05,-4e-05,-1e-05,-1e-05,-2e-05,0,0
251,-3e-05,-7e-05,-5e-05,-3e-05,-4e-05,-1e-05,-1e-05,-2e-05,0,0
252,-2e-05,-2e-05,0.0,0.0,-2e-05,1e-05,-4e-05,-1e-05,0,0
253,-2e-05,-2e-05,0.0,0.0,-2e-05,1e-05,-4e-05,-1e-05,0,0
254,-2e-05,-2e-05,0.0,0.0,-2e-05,1e-05,-4e-05,-1e-05,0,0
256,-2e-05,-2e-05,0.0,0.0,-2e-05,1e-05,-4e-05,-1e-05,0,0
257,0.0,3e-05,1e-05,2e-05,-1e-05,-1e-05,-1e-05,0.0,0,0
258,0.0,3e-05,1e-05,2e-05,-1e-05,-1e-05,-1e-05,0.0,0,0
259,0.0,3e-05,1e-05,2e-05,-1e-05,-1e-05,-1e-05,0.0,0,0
260,0.0,3e-05,1e-05,2e-05,-1e-05,-1e-05,-1e-05,0.0,0,0
261,0.0,3e-05,1e-05,2e-05,-1e-05,-1e-05,-1e-05,0.0,0,0
263,0.0,3e-05,1e-05,2e-05,-1e-05,-1e-05,-1e-05,0.0,0,0
264,-1e-05,-1e-05,-2e-05,-1e-05,-1e-05,-1e-05,-1e-05,1e-05,0,0
265,-1e-05,-1e-05,-2e-05,-1e-05,-1e-05,-1e-05,-1e-05,1e-05,0,0
266,-1e-05,-1e-05,-2e-05,-1e-05,-1e-05,-1e-05,-1e-05,1e-05,0,0
267,-1e-05,-1e-05,-2e-05,-1e-05,-1e-05,-1e-05,-1e-05,1e-05,0,0
268,-1e-05,-1e-05,-2e-05,-1e-05,-1e-05,-1e-05,-1e-05,1e-05,0,0
269,-1e-05,-1e-05,-2e-05,-1e-05,-1e-05,-1e-05,-1e-05,1e-05,0,0
271,-1e-05,-1e-05,-2e-05,-1e-05,-1e-05,-1e-05,-1e-05,1e-05,0,0
272,-1e-05,-1e-05,-2e-05,-1e-05,-1e-05,-1e-05,-1e-05,1e-05,0,0
273,-1e-05,-1e-05,-2e-05,-1e-05,-1e-05,-1e-05,-1e-05,1e-05,0,0
274,-1e-05,-1e-05,-2e-05,-1e-05,-1e-05,-1e-05,-1e-05,1e-05,0,0
275,-1e-05,-1e-05,-2e-05,-1e-05,-1e-05,-1e-05,-1e-05,1e-05,0,0
276,-1e-05,-1e-05,-2e-05,-1e-05,-1e-05,-1e-05,-1e-05,1e-05,0,0
277,-1e-05,-1e-05,-2e-05,-1e-05,-1e-05,-1e-05,-1e-05,1e-05,0,0
278,-1e-05,-1e-05,-2e-05,-1e-05,-1e-05,-1e-05,-1e-05,1e-05,0,0
279,-1e-05,-1e-05,-2e-05,-2e-05,0.0,0.0,-2e-05,-1e-05,0,0
280,-1e-05,0.0,1e-05,1e-05,0.0,0.0,-1e-05,0.0,0,0
281,-1e-05,0.0,1e-05,1e-05,0.0,0.0,-1e-05,0.0,0,0
282,-1e-05,0.0,1e-05,1e-05,0.0,0.0,-1e-05,0.0,0,0
283,-1e-05,0.0,1e-05,1e-05,0.0,0.0,-1e-05,0.0,0,0
284,-1e-05,0.0,1e-05,1e-05,0.0,0.0,-1e-05,0.0,0,0
285,-1e-05,0.0,1e-05,1e-05,0.0,0.0,-1e-05,0.0,0,0
287,0.0,0.0,0.0,2e-05,0.0,-1e-05,0.0,0.0,0,0
290,0.0,0.0,0.0,2e-05,0.0,-1e-05,0.0,0.0,0,0
291,0.0,0.0,0.0,2e-05,0.0,-1e-05,0.0,0.0,0,0
292,0.0,0.0,0.0,2e-05,0.0,-1e-05,0.0,0.0,0,0
293,0.0,0.0,0.0,2e-05,0.0,-1e-05,0.0,0.0,0,0
294,0.0,0.0,0.0,2e-05,0.0,-1e-05,0.0,0.0,0,0
295,0.0,0.0,0.0,2e-05,0.0,-1e-05,0.0,0.0,0,0
296,0.0,0.0,0.0,2e-05,0.0,-1e-05,0.0,0.0,0,0
297,0.0,0.0,0.0,2e-05,0.0,-1e-05,0.0,0.0,0,0
298,0.0,0.0,0.0,2e-05,0.0,-1e-05,0.0,0.0,0,0
299,0.0,0.0,0.0,2e-05,0.0,-1e-05,0.0,0.0,0,0
300,0.0,0.0,0.0,2e-05,0.0,-1e-05,0.0,0.0,0,0
301,0.0,0.0,0.0,2e-05,0.0,-1e-05,0.0,0.0,0,0
303,0.0,0.0,0.0,-1e-05,0.0,-1e-05,-2e-05,0.0,0,0
304,-3e-05,-4e-05,-3e-05,-3e-05,-4e-05,-2e-05,0.0,-2e-05,0,0
305,-3e-05,-4e-05,-3e-05,-3e-05,-4e-05,-2e-05,0.0,-2e-05,0,0
306,-3e-05,-4e-05,-3e-05,-3e-05,-4e-05,-2e-05,0.0,-2e-05,0,0
307,-3e-05,-4e-05,-3e-05,-3e-05,-4e-05,-2e-05,0.0,-2e-05,0,0
308,-3e-05,-4e-05,-3e-05,-3e-05,-4e-05,-2e-05,0.0,-2e-05,0,0
310,-3e-05,-4e-05,-3e-05,-3e-05,-4e-05,-2e-05,0.0,-2e-05,0,0
311,-3e-05,-4e-05,-3e-05,-3e-05,-4e-05,-2e-05,0.0,-2e-05,0,0
312,-3e-05,-4e-05,-3e-05,-3e-05,-4e-05,-2e-05,0.0,-2e-05,0,0
313,-3e-05,-4e-05,-3e-05,-3e-05,-4e-05,-2e-05,0.0,-2e-05,0,0
